--------------------------------------------------------------------------------
Process Logger : Wed Apr 29 04:07:21 2020
--------------------------------------------------------------------------------

{'name': 'System Idle Process', 'username': 'NT AUTHORITY\\SYSTEM', 'pid': 0, 'vms': 0.05859375}
{'name': 'svchost.exe', 'username': None, 'pid': 3020, 'vms': 2.51171875}
{'name': 'svchost.exe', 'username': None, 'pid': 3116, 'vms': 6.09375}
{'name': 'conhost.exe', 'username': 'DESKTOP-1FS3UFH\\hp', 'pid': 3188, 'vms': 7.3671875}
{'name': 'svchost.exe', 'username': None, 'pid': 3192, 'vms': 1.33984375}
{'name': 'svchost.exe', 'username': None, 'pid': 3244, 'vms': 2.66796875}
{'name': 'MsMpEng.exe', 'username': None, 'pid': 3308, 'vms': 505.921875}
{'name': 'spoolsv.exe', 'username': None, 'pid': 3352, 'vms': 5.73828125}
{'name': 'svchost.exe', 'username': None, 'pid': 3396, 'vms': 4.8828125}
{'name': 'svchost.exe', 'username': None, 'pid': 3424, 'vms': 7.84765625}
{'name': 'jupyter-notebook.exe', 'username': 'DESKTOP-1FS3UFH\\hp', 'pid': 3440, 'vms': 0.8984375}
{'name': 'svchost.exe', 'username': None, 'pid': 3456, 'vms': 1.90234375}
{'name': 'svchost.exe', 'username': None, 'pid': 3572, 'vms': 2.5390625}
{'name': 'svchost.exe', 'username': None, 'pid': 3580, 'vms': 1.68359375}
{'name': 'SearchIndexer.exe', 'username': None, 'pid': 3632, 'vms': 55.26171875}
{'name': 'svchost.exe', 'username': None, 'pid': 3676, 'vms': 1.8125}
{'name': 'FNPLicensingService64.exe', 'username': None, 'pid': 3684, 'vms': 1.94921875}
{'name': 'svchost.exe', 'username': None, 'pid': 3692, 'vms': 18.48828125}
{'name': 'esif_uf.exe', 'username': None, 'pid': 3700, 'vms': 2.21875}
{'name': 'svchost.exe', 'username': None, 'pid': 3724, 'vms': 3.83984375}
{'name': 'svchost.exe', 'username': None, 'pid': 3748, 'vms': 35.4296875}
{'name': 'svchost.exe', 'username': None, 'pid': 3764, 'vms': 3.6796875}
{'name': 'chrome.exe', 'username': 'DESKTOP-1FS3UFH\\hp', 'pid': 3776, 'vms': 63.7890625}
{'name': 'svchost.exe', 'username': None, 'pid': 3816, 'vms': 3.94921875}
{'name': 'svchost.exe', 'username': None, 'pid': 3856, 'vms': 2.90234375}
{'name': 'mysqld.exe', 'username': None, 'pid': 3876, 'vms': 7.41796875}
{'name': 'svchost.exe', 'username': None, 'pid': 3888, 'vms': 2.36328125}
{'name': 'unsecapp.exe', 'username': 'DESKTOP-1FS3UFH\\hp', 'pid': 3936, 'vms': 1.32421875}
{'name': 'RtkBtManServ.exe', 'username': None, 'pid': 3956, 'vms': 2.09765625}
{'name': 'svchost.exe', 'username': None, 'pid': 4000, 'vms': 1.58203125}
{'name': 'sqlwriter.exe', 'username': None, 'pid': 4016, 'vms': 1.87890625}
{'name': 'SynTPEnhService.exe', 'username': None, 'pid': 4036, 'vms': 1.30078125}
{'name': 'svchost.exe', 'username': None, 'pid': 4048, 'vms': 2.1328125}
{'name': 'KiteService.exe', 'username': None, 'pid': 4064, 'vms': 63.390625}
{'name': 'TeamViewer_Service.exe', 'username': None, 'pid': 4100, 'vms': 8.734375}
{'name': 'explorer.exe', 'username': 'DESKTOP-1FS3UFH\\hp', 'pid': 4184, 'vms': 96.6953125}
{'name': 'svchost.exe', 'username': None, 'pid': 4208, 'vms': 2.07421875}
{'name': 'SkypeBridge.exe', 'username': 'DESKTOP-1FS3UFH\\hp', 'pid': 4224, 'vms': 34.72265625}
{'name': 'dasHost.exe', 'username': None, 'pid': 4248, 'vms': 3.2421875}
{'name': 'igfxHK.exe', 'username': 'DESKTOP-1FS3UFH\\hp', 'pid': 4256, 'vms': 2.26171875}
{'name': 'mysqld.exe', 'username': None, 'pid': 4320, 'vms': 353.515625}
{'name': 'conhost.exe', 'username': None, 'pid': 4364, 'vms': 6.5546875}
{'name': 'svchost.exe', 'username': None, 'pid': 4472, 'vms': 1.625}
{'name': 'RuntimeBroker.exe', 'username': 'DESKTOP-1FS3UFH\\hp', 'pid': 4564, 'vms': 1.9296875}
{'name': 'svchost.exe', 'username': None, 'pid': 4600, 'vms': 2.3828125}
{'name': 'csrss.exe', 'username': None, 'pid': 4628, 'vms': 2.3515625}
{'name': 'OneDrive.exe', 'username': 'DESKTOP-1FS3UFH\\hp', 'pid': 4664, 'vms': 30.93359375}
{'name': 'svchost.exe', 'username': None, 'pid': 4728, 'vms': 3.4921875}
{'name': 'svchost.exe', 'username': None, 'pid': 4796, 'vms': 2.72265625}
{'name': 'svchost.exe', 'username': None, 'pid': 4876, 'vms': 3.1640625}
{'name': 'conhost.exe', 'username': 'DESKTOP-1FS3UFH\\hp', 'pid': 5144, 'vms': 6.375}
{'name': 'dasHost.exe', 'username': None, 'pid': 5236, 'vms': 0.87109375}
{'name': 'svchost.exe', 'username': 'DESKTOP-1FS3UFH\\hp', 'pid': 5320, 'vms': 10.42578125}
{'name': 'StartMenuExperienceHost.exe', 'username': 'DESKTOP-1FS3UFH\\hp', 'pid': 5348, 'vms': 28.92578125}
{'name': 'svchost.exe', 'username': None, 'pid': 5452, 'vms': 3.80078125}
{'name': 'HPSupportSolutionsFrameworkService.exe', 'username': None, 'pid': 5496, 'vms': 38.390625}
{'name': 'conhost.exe', 'username': 'DESKTOP-1FS3UFH\\hp', 'pid': 5532, 'vms': 7.328125}
{'name': 'FileSyncHelper.exe', 'username': None, 'pid': 5676, 'vms': 3.05078125}
{'name': 'YourPhone.exe', 'username': 'DESKTOP-1FS3UFH\\hp', 'pid': 5680, 'vms': 18.43359375}
{'name': 'SgrmBroker.exe', 'username': None, 'pid': 5708, 'vms': 3.37109375}
{'name': 'QtWebEngineProcess.exe', 'username': 'DESKTOP-1FS3UFH\\hp', 'pid': 5776, 'vms': 17.3515625}
{'name': 'spyder.exe', 'username': 'DESKTOP-1FS3UFH\\hp', 'pid': 5976, 'vms': 1.4921875}
{'name': 'PresentationFontCache.exe', 'username': None, 'pid': 6028, 'vms': 23.734375}
{'name': 'RuntimeBroker.exe', 'username': 'DESKTOP-1FS3UFH\\hp', 'pid': 6124, 'vms': 5.44140625}
{'name': 'svchost.exe', 'username': None, 'pid': 6156, 'vms': 1.71875}
{'name': 'RemindersServer.exe', 'username': 'DESKTOP-1FS3UFH\\hp', 'pid': 6232, 'vms': 7.48828125}
{'name': 'acrotray.exe', 'username': 'DESKTOP-1FS3UFH\\hp', 'pid': 6292, 'vms': 1.86328125}
{'name': 'chrome.exe', 'username': 'DESKTOP-1FS3UFH\\hp', 'pid': 6588, 'vms': 160.65625}
{'name': 'svchost.exe', 'username': None, 'pid': 6612, 'vms': 3.76953125}
{'name': 'Video.UI.exe', 'username': 'DESKTOP-1FS3UFH\\hp', 'pid': 6636, 'vms': 24.078125}
{'name': 'svchost.exe', 'username': None, 'pid': 6652, 'vms': 5.5078125}
{'name': 'svchost.exe', 'username': None, 'pid': 6668, 'vms': 2.65625}
{'name': 'chrome.exe', 'username': 'DESKTOP-1FS3UFH\\hp', 'pid': 6760, 'vms': 38.9140625}
{'name': 'SkypeApp.exe', 'username': 'DESKTOP-1FS3UFH\\hp', 'pid': 6964, 'vms': 188.96875}
{'name': 'sihost.exe', 'username': 'DESKTOP-1FS3UFH\\hp', 'pid': 7028, 'vms': 8.1953125}
{'name': 'svchost.exe', 'username': None, 'pid': 7084, 'vms': 1.84765625}
{'name': 'chrome.exe', 'username': 'DESKTOP-1FS3UFH\\hp', 'pid': 7148, 'vms': 54.8671875}
{'name': 'LockApp.exe', 'username': 'DESKTOP-1FS3UFH\\hp', 'pid': 7356, 'vms': 14.96484375}
{'name': 'conhost.exe', 'username': 'DESKTOP-1FS3UFH\\hp', 'pid': 7436, 'vms': 10.0390625}
{'name': 'svchost.exe', 'username': None, 'pid': 7460, 'vms': 3.94921875}
{'name': 'atieclxx.exe', 'username': None, 'pid': 7568, 'vms': 2.40625}
{'name': 'RuntimeBroker.exe', 'username': 'DESKTOP-1FS3UFH\\hp', 'pid': 7692, 'vms': 15.8828125}
{'name': 'python.exe', 'username': 'DESKTOP-1FS3UFH\\hp', 'pid': 7776, 'vms': 7.46875}
{'name': 'GoogleCrashHandler64.exe', 'username': None, 'pid': 7816, 'vms': 1.6796875}
{'name': 'browser_assistant.exe', 'username': 'DESKTOP-1FS3UFH\\hp', 'pid': 7820, 'vms': 4.76171875}
{'name': 'cmd.exe', 'username': 'DESKTOP-1FS3UFH\\hp', 'pid': 7824, 'vms': 2.8125}
{'name': 'chrome.exe', 'username': 'DESKTOP-1FS3UFH\\hp', 'pid': 7948, 'vms': 34.0390625}
{'name': 'WmiPrvSE.exe', 'username': None, 'pid': 8060, 'vms': 14.6171875}
{'name': 'winlogon.exe', 'username': None, 'pid': 8224, 'vms': 2.66015625}
{'name': 'svchost.exe', 'username': None, 'pid': 8308, 'vms': 6.18359375}
{'name': 'GoogleCrashHandler.exe', 'username': None, 'pid': 8480, 'vms': 1.69140625}
{'name': 'chrome.exe', 'username': 'DESKTOP-1FS3UFH\\hp', 'pid': 8532, 'vms': 195.84765625}
{'name': 'tv_w32.exe', 'username': None, 'pid': 8648, 'vms': 2.953125}
{'name': 'sppsvc.exe', 'username': None, 'pid': 8660, 'vms': 15.1484375}
{'name': 'svchost.exe', 'username': None, 'pid': 8704, 'vms': 1.703125}
{'name': 'fontdrvhost.exe', 'username': None, 'pid': 8760, 'vms': 5.65625}
{'name': 'SecurityHealthSystray.exe', 'username': 'DESKTOP-1FS3UFH\\hp', 'pid': 8884, 'vms': 1.72265625}
{'name': 'SecurityHealthService.exe', 'username': None, 'pid': 9064, 'vms': 4.47265625}
{'name': 'browser_broker.exe', 'username': 'DESKTOP-1FS3UFH\\hp', 'pid': 9228, 'vms': 1.6484375}
{'name': 'cmd.exe', 'username': 'DESKTOP-1FS3UFH\\hp', 'pid': 9252, 'vms': 2.46875}
{'name': 'MicrosoftEdgeCP.exe', 'username': 'DESKTOP-1FS3UFH\\hp', 'pid': 9344, 'vms': 5.63671875}
{'name': 'SettingSyncHost.exe', 'username': 'DESKTOP-1FS3UFH\\hp', 'pid': 9428, 'vms': 9.22265625}
{'name': 'ctfmon.exe', 'username': 'DESKTOP-1FS3UFH\\hp', 'pid': 9548, 'vms': 4.95703125}
{'name': 'taskhostw.exe', 'username': 'DESKTOP-1FS3UFH\\hp', 'pid': 9604, 'vms': 11.30078125}
{'name': 'BM.exe', 'username': 'DESKTOP-1FS3UFH\\hp', 'pid': 9684, 'vms': 12.1796875}
{'name': 'python.exe', 'username': 'DESKTOP-1FS3UFH\\hp', 'pid': 9776, 'vms': 47.46484375}
{'name': 'SynTPHelper.exe', 'username': 'DESKTOP-1FS3UFH\\hp', 'pid': 9848, 'vms': 1.0390625}
{'name': 'kited.exe', 'username': 'DESKTOP-1FS3UFH\\hp', 'pid': 9960, 'vms': 761.58984375}
{'name': 'jusched.exe', 'username': 'DESKTOP-1FS3UFH\\hp', 'pid': 9984, 'vms': 1.46484375}
{'name': 'dllhost.exe', 'username': 'DESKTOP-1FS3UFH\\hp', 'pid': 10020, 'vms': 1.6015625}
{'name': 'RuntimeBroker.exe', 'username': 'DESKTOP-1FS3UFH\\hp', 'pid': 10036, 'vms': 12.8125}
{'name': 'QtWebEngineProcess.exe', 'username': 'DESKTOP-1FS3UFH\\hp', 'pid': 10100, 'vms': 15.6328125}
{'name': 'svchost.exe', 'username': 'DESKTOP-1FS3UFH\\hp', 'pid': 10316, 'vms': 5.12890625}
{'name': 'chrome.exe', 'username': 'DESKTOP-1FS3UFH\\hp', 'pid': 10392, 'vms': 16.625}
{'name': 'svchost.exe', 'username': 'DESKTOP-1FS3UFH\\hp', 'pid': 10552, 'vms': 8.3359375}
{'name': 'RAVBg64.exe', 'username': None, 'pid': 10568, 'vms': 6.31640625}
{'name': 'RuntimeBroker.exe', 'username': 'DESKTOP-1FS3UFH\\hp', 'pid': 10608, 'vms': 6.11328125}
{'name': 'ApplicationFrameHost.exe', 'username': 'DESKTOP-1FS3UFH\\hp', 'pid': 10652, 'vms': 21.68359375}
{'name': 'SecurityHealthHost.exe', 'username': 'DESKTOP-1FS3UFH\\hp', 'pid': 10784, 'vms': 2.21875}
{'name': 'chrome.exe', 'username': 'DESKTOP-1FS3UFH\\hp', 'pid': 10828, 'vms': 6.765625}
{'name': 'svchost.exe', 'username': 'DESKTOP-1FS3UFH\\hp', 'pid': 10908, 'vms': 3.671875}
{'name': 'chrome.exe', 'username': 'DESKTOP-1FS3UFH\\hp', 'pid': 10992, 'vms': 21.24609375}
{'name': 'dwm.exe', 'username': None, 'pid': 11024, 'vms': 70.12890625}
{'name': 'jupyter.exe', 'username': 'DESKTOP-1FS3UFH\\hp', 'pid': 11076, 'vms': 1.4921875}
{'name': 'svchost.exe', 'username': None, 'pid': 11080, 'vms': 2.23046875}
{'name': 'python.exe', 'username': 'DESKTOP-1FS3UFH\\hp', 'pid': 11280, 'vms': 266.7265625}
{'name': 'chrome.exe', 'username': 'DESKTOP-1FS3UFH\\hp', 'pid': 11304, 'vms': 439.3671875}
{'name': 'browser_assistant.exe', 'username': 'DESKTOP-1FS3UFH\\hp', 'pid': 11308, 'vms': 3.0390625}
{'name': 'python.exe', 'username': 'DESKTOP-1FS3UFH\\hp', 'pid': 11348, 'vms': 15.421875}
{'name': 'igfxEM.exe', 'username': 'DESKTOP-1FS3UFH\\hp', 'pid': 11412, 'vms': 3.44140625}
{'name': 'chrome.exe', 'username': 'DESKTOP-1FS3UFH\\hp', 'pid': 11436, 'vms': 193.0078125}
{'name': 'HPMSGSVC.exe', 'username': 'DESKTOP-1FS3UFH\\hp', 'pid': 11444, 'vms': 1.859375}
{'name': 'RuntimeBroker.exe', 'username': 'DESKTOP-1FS3UFH\\hp', 'pid': 11484, 'vms': 6.84375}
{'name': 'esif_assist_64.exe', 'username': 'DESKTOP-1FS3UFH\\hp', 'pid': 11488, 'vms': 1.44921875}
{'name': 'cmd.exe', 'username': 'DESKTOP-1FS3UFH\\hp', 'pid': 11660, 'vms': 2.4765625}
{'name': 'SynTPEnh.exe', 'username': 'DESKTOP-1FS3UFH\\hp', 'pid': 11664, 'vms': 6.5703125}
{'name': 'RuntimeBroker.exe', 'username': 'DESKTOP-1FS3UFH\\hp', 'pid': 11816, 'vms': 6.01171875}
{'name': 'svchost.exe', 'username': None, 'pid': 11880, 'vms': 1.58984375}
{'name': 'MySQLNotifier.exe', 'username': 'DESKTOP-1FS3UFH\\hp', 'pid': 11920, 'vms': 20.546875}
{'name': 'SkypeBackgroundHost.exe', 'username': 'DESKTOP-1FS3UFH\\hp', 'pid': 11932, 'vms': 1.9375}
{'name': 'chrome.exe', 'username': 'DESKTOP-1FS3UFH\\hp', 'pid': 11964, 'vms': 63.88671875}
{'name': 'python.exe', 'username': 'DESKTOP-1FS3UFH\\hp', 'pid': 12060, 'vms': 112.140625}
{'name': 'chrome.exe', 'username': 'DESKTOP-1FS3UFH\\hp', 'pid': 12116, 'vms': 16.30078125}
{'name': 'tv_x64.exe', 'username': None, 'pid': 12208, 'vms': 2.234375}
{'name': 'SppExtComObj.Exe', 'username': None, 'pid': 12680, 'vms': 2.09765625}
{'name': 'MicrosoftEdge.exe', 'username': 'DESKTOP-1FS3UFH\\hp', 'pid': 12792, 'vms': 26.25}
{'name': 'taskhostw.exe', 'username': 'DESKTOP-1FS3UFH\\hp', 'pid': 12996, 'vms': 2.78515625}
{'name': 'SearchProtocolHost.exe', 'username': None, 'pid': 13008, 'vms': 2.3671875}
{'name': 'MicrosoftEdgeSH.exe', 'username': 'DESKTOP-1FS3UFH\\hp', 'pid': 13036, 'vms': 3.796875}
{'name': 'python.exe', 'username': 'DESKTOP-1FS3UFH\\hp', 'pid': 13100, 'vms': 207.04296875}
{'name': 'python.exe', 'username': 'DESKTOP-1FS3UFH\\hp', 'pid': 13104, 'vms': 11.33203125}
{'name': 'chrome.exe', 'username': 'DESKTOP-1FS3UFH\\hp', 'pid': 13288, 'vms': 36.76953125}
{'name': 'chrome.exe', 'username': 'DESKTOP-1FS3UFH\\hp', 'pid': 13372, 'vms': 1.58984375}
{'name': 'chrome.exe', 'username': 'DESKTOP-1FS3UFH\\hp', 'pid': 14020, 'vms': 218.78125}
{'name': 'SystemSettings.exe', 'username': 'DESKTOP-1FS3UFH\\hp', 'pid': 14160, 'vms': 26.109375}
